"";"x";"predicted";"conf.low";"conf.high";"group";"facet";"stimuli"
"161";1,6;0,269917182314627;0,299215661474309;0,23939378867858;"NR";"L";"Familiar non-REW"
"163";1,6;0,705749482642192;0,736720966934058;0,671134590715198;"R";"L";"Familiar REW"
"165";1,64;0,274804163461963;0,304434344782221;0,243911775420476;"NR";"L";"Familiar non-REW"
"167";1,64;0,713334752523074;0,744128422135262;0,678835121912413;"R";"L";"Familiar REW"
"169";1,68;0,280997302005323;0,311037535027725;0,249647250747646;"NR";"L";"Familiar non-REW"
"171";1,68;0,722737530228408;0,753291837229398;0,688399134100303;"R";"L";"Familiar REW"
"173";1,72;0,283085420934691;0,313261002650717;0,251583912286576;"NR";"L";"Familiar non-REW"
"175";1,72;0,725855558962983;0,756326186530507;0,69157467730562;"R";"L";"Familiar REW"
"177";1,76;0,286450189739385;0,316840916863976;0,254707513533005;"NR";"L";"Familiar non-REW"
"179";1,76;0,730825011259694;0,761156531525733;0,696641591138381;"R";"L";"Familiar REW"
"181";1,8;0,293259805214632;0,324076016148418;0,26103864508685;"NR";"L";"Familiar non-REW"
"183";1,8;0,740677098536572;0,770711905231826;0,706707985465169;"R";"L";"Familiar REW"
"185";1,84;0,296701776367805;0,327728364239585;0,264243253689082;"NR";"L";"Familiar non-REW"
"187";1,84;0,745553714721357;0,775431942037355;0,711700262809103;"R";"L";"Familiar REW"
"189";1,88;0,29973355433291;0,330942903379425;0,267068390120804;"NR";"L";"Familiar non-REW"
"191";1,88;0,749792441602647;0,779528231180699;0,716046083294796;"R";"L";"Familiar REW"
"193";1,92;0,301476236394383;0,332789360489805;0,268693543796073;"NR";"L";"Familiar non-REW"
"195";1,92;0,75220501418148;0,781857272706672;0,718522108168954;"R";"L";"Familiar REW"
"197";1,96;0,304543306187029;0,336036885537451;0,271555900570213;"NR";"L";"Familiar non-REW"
"199";1,96;0,756409048214878;0,785912245455315;0,72284004791504;"R";"L";"Familiar REW"
"201";2;0,310313781071832;0,342137733812213;0,276950351118553;"NR";"L";"Familiar non-REW"
"203";2;0,764174748502459;0,793390597050907;0,730827598114781;"R";"L";"Familiar REW"
"205";2,04;0,311210769707124;0,343084953379464;0,277790018346916;"NR";"L";"Familiar non-REW"
"207";2,04;0,765365157640561;0,79453555618134;0,732053350809309;"R";"L";"Familiar REW"
"209";2,08;0,314363366492704;0,346412369662013;0,280742824089069;"NR";"L";"Familiar non-REW"
"211";2,08;0,769513636833966;0,798522245098555;0,736328392027739;"R";"L";"Familiar REW"
"213";2,12;0,317992602511768;0,350239472887452;0,284145356912234;"NR";"L";"Familiar non-REW"
"215";2,12;0,774221578959304;0,803039807316625;0,741186811846916;"R";"L";"Familiar REW"
"217";2,16;0,323034180544715;0,35554926195372;0,288878585041118;"NR";"L";"Familiar non-REW"
"219";2,16;0,78064263404904;0,809189267372217;0,747825222751978;"R";"L";"Familiar REW"
"221";2,2;0,32488358955074;0,357494957550148;0,290616979564844;"NR";"L";"Familiar non-REW"
"223";2,2;0,782963718171257;0,811408773782223;0,750228318810277;"R";"L";"Familiar REW"
"225";2,24;0,328136259641654;0,360914846235116;0,293676464006275;"NR";"L";"Familiar non-REW"
"227";2,24;0,787001629472924;0,815264997033755;0,75441413311651;"R";"L";"Familiar REW"
"229";2,28;0,331404326422383;0,364348684379039;0,296752537529136;"NR";"L";"Familiar non-REW"
"231";2,28;0,79100218269582;0,819078617579634;0,758568682962957;"R";"L";"Familiar REW"
"233";2,32;0,335642155340798;0,368796827296131;0,30074599614332;"NR";"L";"Familiar non-REW"
"235";2,32;0,796106410157897;0,823936378908106;0,763877422712999;"R";"L";"Familiar REW"
"237";2,36;0,338975081409004;0,372290550553159;0,303891404879611;"NR";"L";"Familiar non-REW"
"239";2,36;0,8000552129482;0,827688781462315;0,767990046101111;"R";"L";"Familiar REW"
"241";2,4;0,341375148380561;0,374803890012823;0,306158998366728;"NR";"L";"Familiar non-REW"
"243";2,4;0,802863386079547;0,830354113318645;0,770917849478911;"R";"L";"Familiar REW"
"245";2,44;0,342822441455806;0,376318569891843;0,307527332697381;"NR";"L";"Familiar non-REW"
"247";2,44;0,804542551500713;0,831946547030552;0,7726698648626;"R";"L";"Familiar REW"
"249";2,48;0,346227168387389;0,379878307290763;0,310749937665574;"NR";"L";"Familiar non-REW"
"251";2,48;0,808450843822018;0,835649637941601;0,776750846344596;"R";"L";"Familiar REW"
"253";2,52;0,346716667837044;0,380389694796427;0,311213663656358;"NR";"L";"Familiar non-REW"
"255";2,52;0,809007929943465;0,83617710539534;0,777332887979366;"R";"L";"Familiar REW"
"257";2,56;0,348187842835629;0,381926313772669;0,312607707309828;"NR";"L";"Familiar non-REW"
"259";2,56;0,810674991741459;0,837754499205052;0,779075792077602;"R";"L";"Familiar REW"
"261";2,6;0,350649688068557;0,38449630637969;0,314941840356247;"NR";"L";"Familiar non-REW"
"263";2,6;0,8134404228205;0,840368503034458;0,781969871240971;"R";"L";"Familiar REW"
"265";2,64;0,352632715384529;0,386564682149748;0,316823813374382;"NR";"L";"Familiar non-REW"
"267";2,64;0,815646077772198;0,84245167782747;0,784279717028301;"R";"L";"Familiar REW"
"269";2,68;0,353628828004105;0,387603089235566;0,317769759050832;"NR";"L";"Familiar non-REW"
"271";2,68;0,816746682111083;0,843490590254236;0,785432846677736;"R";"L";"Familiar REW"
"273";2,72;0,357143369196018;0,391263317666081;0,321110983185414;"NR";"L";"Familiar non-REW"
"275";2,72;0,820590941719562;0,847116734472224;0,789462829159508;"R";"L";"Familiar REW"
"277";2,76;0,362240086091578;0,396561640734595;0,325966436267626;"NR";"L";"Familiar non-REW"
"279";2,76;0,826058968746656;0,852267056499939;0,795201519467021;"R";"L";"Familiar REW"
"281";2,8;0,363270263274904;0,397631144041518;0,326949337404067;"NR";"L";"Familiar non-REW"
"283";2,8;0,827148977129441;0,853292630907459;0,796346452859144;"R";"L";"Familiar REW"
"285";2,84;0,365338220899983;0,39977698665585;0,328923475282599;"NR";"L";"Familiar non-REW"
"287";2,84;0,829321714007113;0,855335340517393;0,798630312243107;"R";"L";"Familiar REW"
"289";2,88;0,370040084620235;0,404649518295514;0,333418705148097;"NR";"L";"Familiar non-REW"
"291";2,88;0,834186260416562;0,859901731940551;0,803750634354899;"R";"L";"Familiar REW"
"293";2,92;0,370566862029164;0,405194838046225;0,333922937261592;"NR";"L";"Familiar non-REW"
"295";2,92;0,834724773946821;0,860406593147344;0,804318119581664;"R";"L";"Familiar REW"
"297";2,96;0,371093639438068;0,405740142525478;0,334427177975398;"NR";"L";"Familiar non-REW"
"299";2,96;0,835261987225187;0,860910033840925;0,804884467209111;"R";"L";"Familiar REW"
"301";3;0,37320495393277;0,407925047338627;0,336448826270284;"NR";"L";"Familiar non-REW"
"303";3;0,837402120500065;0,862913883156252;0,807142612055969;"R";"L";"Familiar REW"
"305";3,08;0,37639879732494;0,411226611427244;0,339510807510407;"NR";"L";"Familiar non-REW"
"307";3,08;0,840600218422134;0,865905125383318;0,810520048288927;"R";"L";"Familiar REW"
"309";3,12;0,379627135873198;0,414559325050586;0,342610605971054;"NR";"L";"Familiar non-REW"
"311";3,12;0,843785131278619;0,868880879972347;0,813886142581709;"R";"L";"Familiar REW"
"313";3,16;0,380709306101414;0,415675653934751;0,343650549336231;"NR";"L";"Familiar non-REW"
"315";3,16;0,844842088125003;0,86986739178232;0,815004264133864;"R";"L";"Familiar REW"
"317";3,2;0,381793527542504;0,416793801257048;0,344692763190628;"NR";"L";"Familiar non-REW"
"319";3,2;0,845895711682325;0,870850226487524;0,81611944773869;"R";"L";"Familiar REW"
"321";3,24;0,383419859703909;0,418470902099709;0,346256153337436;"NR";"L";"Familiar non-REW"
"323";3,24;0,847466169787482;0,872313609350452;0,817783483103072;"R";"L";"Familiar REW"
"325";3,28;0,383961970424316;0,419029903724558;0,346777301763969;"NR";"L";"Familiar non-REW"
"327";3,28;0,847987004036217;0,872798517448733;0,818335836356532;"R";"L";"Familiar REW"
"329";3,32;0,385049061820907;0,420150512286529;0,347822729207594;"NR";"L";"Familiar non-REW"
"331";3,32;0,849027447866855;0,873766716454139;0,819439763766309;"R";"L";"Familiar REW"
"333";3,36;0,385594308524925;0,420712358346498;0,348347303527042;"NR";"L";"Familiar non-REW"
"335";3,36;0,84954730117521;0,874250312316738;0,819991484665326;"R";"L";"Familiar REW"
"337";3,4;0,386687269217303;0,421838279283311;0,349399152067953;"NR";"L";"Familiar non-REW"
"339";3,4;0,850585354695143;0,875215474984019;0,821093711510165;"R";"L";"Familiar REW"
"341";3,44;0,38888436619835;0,424100183203894;0,351515129915358;"NR";"L";"Familiar non-REW"
"343";3,44;0,852655968530167;0,877139330818856;0,823293623952399;"R";"L";"Familiar REW"
"345";3,48;0,389989201134886;0,425236811957685;0,352580014737029;"NR";"L";"Familiar non-REW"
"347";3,48;0,853689107640234;0,878098502051731;0,824392008437866;"R";"L";"Familiar REW"
"349";3,52;0,390542302201537;0,42580573254376;0,353113211925072;"NR";"L";"Familiar non-REW"
"351";3,52;0,85420429035655;0,878576499269991;0,824940074840193;"R";"L";"Familiar REW"
"353";3,56;0,392209495871652;0,427519589188324;0,354721506741455;"NR";"L";"Familiar non-REW"
"355";3,56;0,855749037444301;0,880009314124943;0,826583704839284;"R";"L";"Familiar REW"
"357";3,6;0,392767592128616;0,428092991302807;0,355260223144931;"NR";"L";"Familiar non-REW"
