"";"x";"predicted";"std.error";"conf.low";"conf.high";"group"
"109";5,6;6,34903476816362e-06;0,183142144027831;4,43422433777587e-06;9,09070134606096e-06;"Dynamic non-REW"
"110";5,6;5,82552604015255e-06;0,184307570316601;4,0593175526933e-06;8,3602051636183e-06;"Static non-REW"
"111";5,6;7,95563710688503e-05;0,146788493434524;5,96673858427585e-05;0,000106074266967862;"Dynamic REW"
"112";5,6;8,4073731548146e-05;0,146525695649962;6,30879680935501e-05;0,000112039477644854;"Static REW"
"113";5,8;6,11721864294639e-06;0,184405295040478;4,26175753349625e-06;8,78049335337557e-06;"Dynamic non-REW"
"114";5,8;5,62293221770682e-06;0,185598433145665;3,90824625367915e-06;8,08990551952789e-06;"Static non-REW"
"115";5,8;8,02200780832961e-05;0,14691876671582;6,01498178382937e-05;0,000106986489079626;"Dynamic REW"
"116";5,8;8,45109950951873e-05;0,146671758737137;6,33979416805058e-05;0,000112654415625031;"Static REW"
"117";6;5,90773118086137e-06;0,185552014124517;4,10657110380985e-06;8,49888124448853e-06;"Dynamic non-REW"
"118";6;5,44180824691498e-06;0,186772693790664;3,77365987244518e-06;7,84735672002487e-06;"Static non-REW"
"119";6;8,0847766996086e-05;0,147052547416849;6,06045828249365e-05;0,000107851864077956;"Dynamic REW"
"120";6;8,49055512899437e-05;0,146817977714737;6,36756838332782e-05;0,000113212786683983;"Static REW"
"121";6,2;5,71883902434518e-06;0,186574527085683;3,96730972968181e-06;8,24364537290322e-06;"Dynamic non-REW"
"122";6,2;5,28051532261002e-06;0,187821868179878;3,65428781160028e-06;7,63043945366005e-06;"Static non-REW"
"123";6,2;8,1438508609762e-05;0,147183915537297;6,10317044715247e-05;0,000108667871655476;"Dynamic REW"
"124";6,2;8,52567819849078e-05;0,146958909290293;6,39214403341149e-05;0,000113712505092991;"Static REW"
"125";6,4;5,5490091895332e-06;0,187466617771194;3,84276928451447e-06;8,01283589470537e-06;"Dynamic non-REW"
"126";6,4;5,13762104238197e-06;0,188738972465928;3,5490151419895e-06;7,43731152157116e-06;"Static non-REW"
"127";6,4;8,19914238505466e-05;0,147307635792202;6,14311819458432e-05;0,00010943216636416;"Dynamic REW"
"128";6,4;8,55641352776154e-05;0,147089783011304;6,41354317139576e-05;0,000114151704129022;"Static REW"
"129";6,6;5,39688845412759e-06;0,18822354396123;3,73188278016602e-06;7,80474228836041e-06;"Dynamic non-REW"
"130";6,6;5,01187827348935e-06;0,189518434394297;3,45686807642671e-06;7,26637687709139e-06;"Static non-REW"
"131";6,6;8,25056859468011e-05;0,147419152896344;6,18029863071482e-05;0,000110142590351458;"Dynamic REW"
"132";6,6;8,58271269554653e-05;0,14720649566704;6,43178503154833e-05;0,00011452874583466;"Static REW"
"133";6,8;5,26128546495895e-06;0,188841969392452;3,63370776800649e-06;7,61786756976891e-06;"Dynamic non-REW"
"134";6,8;4,90220704901104e-06;0,190156019952564;3,37700119928271e-06;7,11625965729668e-06;"Static non-REW"
"135";6,8;8,29805224880641e-05;0,147514585752636;6,21470574654011e-05;0,000110797184944321;"Dynamic REW"
"136";6,8;8,60453417666547e-05;0,147305605044307;6,44688579459198e-05;0,00011484222938024;"Static REW"
"137";7;5,14115523529308e-06;0,189319911662748;3,54741508607493e-06;7,45090652957671e-06;"Dynamic non-REW"
"138";7;4,80767912597627e-06;0,190648775123821;3,30868630380231e-06;6,98578250069338e-06;"Static non-REW"
