"";"x";"predicted";"conf.low";"conf.high";"group"
"168";1,68;0,429415008308528;0,472000566266985;0,383394731237191;"Control 2"
"169";1,72;0,443767053866159;0,483789552279775;0,400641556692363;"Control 1"
"170";1,72;0,478082073633867;0,52803466411699;0,422842524329275;"Compl non-REW"
"171";1,72;0,49171145518678;0,529124203409653;0,451326131733403;"Compl REW"
"172";1,72;0,43445117766427;0,477214509026775;0,388189848478959;"Control 2"
"173";1,76;0,447168166275535;0,487281381262162;0,403916641194914;"Control 1"
"174";1,76;0,481618630108716;0,531678153539064;0,426208179949216;"Compl non-REW"
"175";1,76;0,49529532099022;0,532741909582075;0,454847720696431;"Compl REW"
"176";1,76;0,437811623973559;0,480689743176218;0,391393168175967;"Control 2"
"177";1,8;0,450571614892328;0,490773390520582;0,407196040539541;"Control 1"
"178";1,8;0,485155252210518;0,535317787873082;0,429577661014451;"Compl non-REW"
"179";1,8;0,498878258423999;0,536357165707563;0,458369716285163;"Compl REW"
"180";1,8;0,441174964628084;0,484165546478179;0,394601469470839;"Control 2"
"181";1,84;0,457379061115527;0,49775250001711;0,413760181333112;"Control 1"
"182";1,84;0,492221920284934;0,542577894466864;0,436322435841609;"Compl non-REW"
"183";1,84;0,506034464757224;0,543570741327569;0,465411243097373;"Compl REW"
"184";1,84;0,447903962497594;0,491113201706106;0,401025855558109;"Control 2"
"185";1,88;0,465893149524848;0,506470072127556;0,421980083448523;"Control 1"
"186";1,88;0,501046668305334;0,55162107398166;0,44476777840575;"Compl non-REW"
"187";1,88;0,514965331259662;0,552561203956437;0,474210479823605;"Compl REW"
"188";1,88;0,456323304189619;0,499793771184732;0,409075032377383;"Control 2"
"189";1,92;0,477827199875591;0,518666679075842;0,433522631123373;"Control 1"
"190";1,92;0,513390432076366;0,564231613394607;0,456617600373916;"Compl non-REW"
"191";1,92;0,527446725004603;0,565103098412072;0,48652980305557;"Compl REW"
"192";1,92;0,46813096239519;0,511941129229852;0,420388215224364;"Control 2"
"193";2;0,484655639761223;0,52563381891575;0,440137555710899;"Control 1"
"194";2;0,520439583507115;0,571413750048981;0,463402773436823;"Compl non-REW"
"195";2;0,534568715558122;0,572247501924066;0,493570975010973;"Compl REW"
"196";2;0,474890509886864;0,518879323744748;0,426879803310329;"Control 2"
"197";2,04;0,488071745984136;0,529116072983122;0,443449813800212;"Control 1"
"198";2,04;0,523962311430104;0,574996555177483;0,466799896095892;"Compl non-REW"
"199";2,04;0,538126251696236;0,575813177271015;0,497091027015554;"Compl REW"
"200";2,04;0,478273100685526;0,522347839004285;0,430131422621707;"Control 2"
"201";2,08;0,49148804980398;0,532596624438569;0,446763936649889;"Control 1"
"202";2,08;0,527482691897792;0,578572606500085;0,470199114011316;"Compl non-REW"
"203";2,08;0,541680347092285;0,579372920717817;0,500610125720105;"Compl REW"
"204";2,08;0,481656526421785;0,525814976294405;0,433385823741359;"Control 2"
"205";2,12;0,494906118003281;0,536077217880783;0,450081264677027;"Control 1"
"206";2,12;0,531002321937777;0,582143660390594;0,473601807182429;"Compl non-REW"
"207";2,12;0,545232607837781;0,582928942902985;0,504129146688981;"Compl REW"
"208";2,12;0,485042343771617;0,529281638421401;0,436645329026642;"Control 2"
"209";2,16;0,498326410881608;0,539558126708673;0,453402471369734;"Control 1"
"210";2,16;0,534521655519403;0,585710183202824;0,477008411996589;"Compl non-REW"
"211";2,16;0,548783484840082;0,586481876604485;0,507648318092389;"Compl REW"
"212";2,16;0,488431014308783;0,532748307007863;0,439910371548842;"Control 2"
"213";2,2;0,505173224224524;0,546518943312673;0,460057847150209;"Control 1"
"214";2,2;0,54155889135615;0,592828852095568;0,483833146881194;"Compl non-REW"
"215";2,2;0,555880510756784;0,593577757387777;0,514686697613034;"Compl REW"
"216";2,2;0,49521649580048;0,539682727209453;0,446454866732996;"Control 2"
"217";2,24;0,508597803565067;0,549997118161723;0,463389839472499;"Control 1"
"218";2,24;0,545074759793941;0,596378729807598;0,487249584052184;"Compl non-REW"
"219";2,24;0,559424594674266;0,59711783788955;0,518204810158062;"Compl REW"
"220";2,24;0,498611393995225;0,543148892298117;0,449732024300015;"Control 2"
"221";2,28;0,513737215285118;0,555213055866128;0,468393803106989;"Control 1"
"222";2,28;0,550346178322807;0,601693677704261;0,492379236705207;"Compl non-REW"
"223";2,28;0,564736226605187;0,602419116382398;0,52348173607836;"Compl REW"
"224";2,28;0,503707520731288;0,548346597440388;0,454656549507172;"Control 2"
"225";2,32;0,522308475587932;0,563899304188251;0,47675113870117;"Control 1"
"226";2,32;0,559124117317129;0,610529359649146;0,500934027385732;"Compl non-REW"
"227";2,32;0,573575492766257;0,611226145650524;0,532278577030842;"Compl REW"
"228";2,32;0,512209994164508;0,557002802350345;0,462888047474368;"Control 2"
"229";2,36;0,532606754321894;0,574314156073641;0,486812988445757;"Control 1"
"230";2,36;0,569648101602272;0,621096359661379;0,511214101060061;"Compl non-REW"
"231";2,36;0,584163553746707;0,621752838658051;0,542838736927778;"Compl REW"
"232";2,36;0,522431348409652;0,56738301799282;0,472808913039761;"Control 2"
"233";2,4;0,534324447774233;0,576048918914902;0,488493532353453;"Control 1"
